Feature,Mean_IC,Abs_IC,ICIR,IC_Std,Hit_Rate,Observations,Alpha_Score
Trend_Strength,0.03527301789592763,0.2196529177869913,0.13067984080667913,0.2699193505862073,0.5586452762923351,2805,0.17333985759397214
Volume_Change,-0.00545244399046498,0.1733571274093548,-0.025396910717885596,0.21468925987239165,0.49107780157030695,2802,0.0868730417670922
Return_10,-0.007620200067597857,0.19541953883062246,-0.03149671145099353,0.24193637002255278,0.49642857142857144,2800,0.08483277524744753
Return_10_Z,-0.00763486443136708,0.1954342031943917,-0.03155707144689705,0.24193830573466382,0.49642857142857144,2800,0.08480505028518515
Range_Position,-0.008160091902280692,0.18795685613268048,-0.03515058129472282,0.2321467118484095,0.4892933618843683,2802,0.08188392756769436
RSI,-0.00947615021722007,0.18959093709108718,-0.04042290047759674,0.23442529023984957,0.48375580149946446,2801,0.078338877534985
Return_5,-0.00984299483209076,0.18987318201401657,-0.04182874080175487,0.23531654555207338,0.4825124910778016,2802,0.07743309126050528
Return_5_Z,-0.00987345344530838,0.18986671586716453,-0.041958588684322826,0.23531423989574876,0.4825124910778016,2802,0.07737393812565857
Momentum_Z,-0.015038399875787948,0.1973639052311168,-0.06148086551154332,0.24460292953233642,0.48605150214592274,2796,0.06892471755603981
Momentum,-0.015040533339598382,0.19737191837855284,-0.061488754678735685,0.244606243152799,0.48605150214592274,2796,0.0689209962888078
Momentum_Rank,-0.015041342309893464,0.1973634479723228,-0.061493143601884896,0.2446019404338807,0.48605150214592274,2796,0.06891909612907278
Return_Rank,-0.023838194247996203,0.18893256271433184,-0.10162264376850001,0.23457561486668083,0.4627450980392157,2805,0.04625390687726986
Volatility_Rank,-0.03078701927078957,0.22031871169907405,-0.11464738756659473,0.2685365956399055,0.45448054266333454,2801,0.03691536421250345
Volatility,-0.030786910234636155,0.22031599847948313,-0.11464759303841705,0.2685351633127808,0.45448054266333454,2801,0.036915341363634675
Volatility_Z,-0.03079039062144694,0.22032107893509686,-0.11465943927668627,0.26853777326162204,0.45448054266333454,2801,0.0369096290061756
