iter	Logloss
0	0.6667045359
1	0.6425894618
2	0.6203091948
3	0.5998498831
4	0.5807690318
5	0.56369779
6	0.5473967328
7	0.5324449957
8	0.51890549
9	0.5064650162
10	0.4940868949
11	0.4828875625
12	0.4728583566
13	0.4638139364
14	0.4544042234
15	0.4465482523
16	0.43877603
17	0.4319324281
18	0.4257128299
19	0.4191216718
20	0.4131783086
21	0.408214382
22	0.4028598144
23	0.3984764603
24	0.3943477453
25	0.3905410118
26	0.3867629795
27	0.3831714458
28	0.379914348
29	0.376766866
30	0.373232655
31	0.3706280226
32	0.3680275417
33	0.3653533317
34	0.3633326249
35	0.3609260275
36	0.3591626344
37	0.3569933116
38	0.3556024765
39	0.3540218695
40	0.3523025064
41	0.3513236685
42	0.350429737
43	0.3488526429
44	0.3475125839
45	0.3458536172
46	0.3445044568
47	0.3433207979
48	0.3418872501
49	0.3407294983
50	0.3398967216
51	0.3391410274
52	0.3384800194
53	0.3376899155
54	0.336741216
55	0.3357166717
56	0.3349677635
57	0.3344490845
58	0.3333899708
59	0.3323267256
60	0.3313954505
61	0.3308092695
62	0.3301008385
63	0.3292742493
64	0.3285829433
65	0.3278908589
66	0.3272842397
67	0.3268987881
68	0.3263360991
69	0.3256082279
70	0.3249868788
71	0.3240978373
72	0.3233936377
73	0.3228047622
74	0.3223508507
75	0.3219179761
76	0.321473146
77	0.3210637234
78	0.3207025023
79	0.3204238323
80	0.3199456504
81	0.3194571096
82	0.3190783444
83	0.318685947
84	0.3181884047
85	0.3177837923
86	0.3174076417
87	0.3170561008
88	0.3165324918
89	0.3162395909
90	0.3157246043
91	0.3152399955
92	0.314956176
93	0.3146054734
94	0.3142389631
95	0.313985721
96	0.3135757596
97	0.3133471273
98	0.3129395409
99	0.312564029
100	0.3120887412
101	0.311889848
102	0.3114272343
103	0.3112321932
104	0.3107822935
105	0.310481369
106	0.3102450524
107	0.3100189947
108	0.3097285089
109	0.3093455323
110	0.3090001587
111	0.3086945239
112	0.3084406232
113	0.308133691
114	0.3077993748
115	0.3074062989
116	0.3071716189
117	0.3068565833
118	0.3065788713
119	0.3063670646
120	0.306146336
121	0.3056609489
122	0.3054033757
123	0.3050290813
124	0.3047866971
125	0.3045326168
126	0.3041719545
127	0.3037667633
128	0.303555695
129	0.303266766
130	0.3027887638
131	0.3025763782
132	0.3021722248
133	0.3019505583
134	0.3017966131
135	0.3015912731
136	0.3013465138
137	0.3011879182
138	0.3009118229
139	0.300614072
140	0.3003946408
141	0.3001728145
142	0.2999874337
143	0.2996776274
144	0.2993646675
145	0.2989745655
146	0.2987642756
147	0.2985404734
148	0.2982475924
149	0.2981401522
150	0.2979045541
151	0.2977480941
152	0.2974951515
153	0.2971554264
154	0.2968093942
155	0.2964971129
156	0.2962294804
157	0.2960836586
158	0.2957736527
159	0.2953288825
160	0.2949862633
161	0.2947329215
162	0.29447944
163	0.2942843989
164	0.2939009832
165	0.293732887
166	0.2934639172
167	0.2932519906
168	0.2929820229
169	0.2927832893
170	0.2926798609
171	0.2924268784
172	0.2919789346
173	0.2917386261
174	0.2914729296
175	0.2912157357
176	0.2908916785
177	0.2906634853
178	0.2902254812
179	0.2899875479
180	0.2897985345
181	0.2895933941
182	0.2893557003
183	0.2890856127
184	0.2887583222
185	0.2884830652
186	0.2882703204
187	0.2880327263
188	0.287734656
189	0.2874893178
190	0.2873550724
191	0.2870792566
192	0.2868196476
193	0.2866084995
194	0.2864177896
195	0.2862671577
196	0.28602647
197	0.2857318726
198	0.2856019184
199	0.2854355188
200	0.2851538549
201	0.2849554208
202	0.2848616127
203	0.2846017043
204	0.2843744292
205	0.2841115269
206	0.283930577
207	0.2837098884
208	0.2834932915
209	0.2833002863
210	0.2829996213
211	0.2827881338
212	0.282555849
213	0.2822236085
214	0.2819314461
215	0.2816950896
216	0.2813967798
217	0.2811955514
218	0.2810322853
219	0.2807800812
220	0.280545022
221	0.2803027775
222	0.2800999524
223	0.2798043969
224	0.2796771372
225	0.2795119551
226	0.2792729439
227	0.2790142531
228	0.2788737605
229	0.2787116321
230	0.2784719224
231	0.2782705144
232	0.2781411589
233	0.2777747085
234	0.2775980099
235	0.2773968813
236	0.2772169693
237	0.2769977777
238	0.2767806218
239	0.2765207733
240	0.2763986032
241	0.2760695363
242	0.2758133603
243	0.2756461623
244	0.2754802217
245	0.2750226577
246	0.2747935263
247	0.2746222167
248	0.2745125411
249	0.2743523487
250	0.2740591085
251	0.2739376769
252	0.2737317382
253	0.2734923478
254	0.2732065324
255	0.2728701006
256	0.2726614873
257	0.272438224
258	0.2720888985
259	0.2719042162
260	0.2713556383
261	0.2712537268
262	0.271063935
263	0.2709467347
264	0.2706651507
265	0.27050414
266	0.2703037699
267	0.2700755766
268	0.2698592391
269	0.269669627
270	0.2694706539
271	0.2692772495
272	0.2689728721
273	0.2687854954
274	0.2684614582
275	0.2682724049
276	0.2680903573
277	0.2679027809
278	0.2677533865
279	0.2675348136
280	0.2672758633
281	0.2671413584
282	0.2669340624
283	0.2668187982
284	0.2665544988
285	0.2663301576
286	0.2660932422
287	0.2658300406
288	0.2655727868
289	0.2653224189
290	0.2651665777
291	0.2650155466
292	0.2648503046
293	0.2646910304
294	0.264481459
295	0.2642445436
296	0.2639787872
297	0.2637979771
298	0.2636612168
299	0.2634800673
300	0.263186428
301	0.2630620823
302	0.262757625
303	0.2624637861
304	0.2623711156
305	0.2622250743
306	0.2620173393
307	0.2617719811
308	0.2615368022
309	0.2614957661
310	0.261218114
311	0.2610842079
312	0.2609260913
313	0.2607068797
314	0.2604907219
315	0.260191953
316	0.2599687096
317	0.259763689
318	0.2594548207
319	0.2592289228
320	0.2590324247
321	0.2587551119
322	0.2585460396
323	0.2584245481
324	0.258233439
325	0.2580947626
326	0.2577804855
327	0.2575506556
328	0.2572917452
329	0.2570092231
330	0.2567436463
