iter	Passed	Remaining
0	25	10147
1	47	9428
2	68	9112
3	89	8899
4	111	8822
5	133	8764
6	155	8728
7	177	8721
8	200	8691
9	224	8771
10	244	8662
11	256	8297
12	269	8015
13	280	7743
14	292	7504
15	303	7287
16	315	7098
17	327	6940
18	338	6790
19	350	6652
20	361	6532
21	373	6425
22	385	6322
23	397	6228
24	409	6135
25	420	6053
26	432	5976
27	444	5904
28	456	5841
29	468	5776
30	480	5716
31	495	5694
32	507	5640
33	519	5597
34	532	5550
35	544	5501
36	555	5452
37	567	5405
38	578	5353
39	589	5304
40	600	5257
41	611	5213
42	623	5174
43	634	5134
44	645	5094
45	657	5058
46	668	5022
47	680	4988
48	691	4953
49	702	4920
50	714	4889
51	726	4858
52	737	4826
53	748	4796
54	759	4766
55	771	4739
56	783	4712
57	794	4684
58	806	4658
59	817	4633
60	840	4668
61	856	4668
62	871	4663
63	883	4638
64	895	4614
65	906	4589
66	920	4572
67	931	4546
68	942	4521
69	953	4496
70	965	4471
71	976	4449
72	988	4425
73	999	4402
74	1010	4379
75	1021	4355
76	1032	4332
77	1043	4309
78	1055	4288
79	1065	4263
80	1077	4241
81	1088	4221
82	1099	4199
83	1110	4177
84	1121	4157
85	1133	4138
86	1144	4117
87	1155	4097
88	1169	4085
89	1180	4064
90	1190	4043
91	1201	4022
92	1213	4004
93	1223	3983
94	1234	3962
95	1245	3942
96	1255	3923
97	1266	3902
98	1277	3883
99	1288	3864
100	1299	3845
101	1309	3826
102	1320	3808
103	1331	3789
104	1342	3771
105	1353	3753
106	1364	3735
107	1375	3719
108	1386	3701
109	1397	3683
110	1408	3666
111	1418	3648
112	1429	3630
113	1443	3621
114	1454	3605
115	1467	3591
116	1478	3575
117	1489	3559
118	1500	3542
119	1510	3525
120	1520	3507
121	1531	3490
122	1542	3473
123	1553	3456
124	1563	3440
125	1574	3424
126	1585	3407
127	1595	3390
128	1606	3375
129	1617	3359
130	1628	3344
131	1638	3327
132	1649	3312
133	1660	3296
134	1671	3281
135	1683	3267
136	1694	3252
137	1704	3236
138	1715	3221
139	1726	3205
140	1737	3190
141	1748	3176
142	1758	3161
143	1769	3146
144	1780	3131
145	1791	3116
146	1801	3100
147	1812	3085
148	1833	3088
149	1850	3083
150	1860	3068
151	1871	3053
152	1881	3038
153	1892	3023
154	1903	3008
155	1914	2994
156	1924	2979
157	1935	2964
158	1946	2950
159	1957	2936
160	1968	2922
161	1979	2907
162	1989	2892
163	2000	2878
164	2011	2864
165	2022	2850
166	2033	2836
167	2043	2822
168	2054	2807
169	2064	2793
170	2075	2779
171	2085	2764
172	2097	2751
173	2107	2737
174	2119	2725
175	2130	2711
176	2140	2697
177	2151	2683
178	2162	2669
179	2173	2656
180	2183	2642
181	2194	2628
182	2205	2614
183	2215	2601
184	2226	2587
185	2237	2574
186	2248	2560
187	2258	2547
188	2269	2533
189	2280	2520
190	2290	2506
191	2301	2492
192	2311	2479
193	2322	2466
194	2333	2452
195	2343	2439
196	2353	2425
197	2364	2412
198	2375	2398
199	2385	2385
200	2399	2375
201	2411	2363
202	2423	2351
203	2434	2338
204	2445	2326
205	2456	2313
206	2467	2300
207	2478	2287
208	2488	2274
209	2499	2261
210	2510	2248
211	2521	2235
212	2531	2222
213	2542	2210
214	2553	2197
215	2563	2184
216	2574	2171
217	2585	2158
