YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2014,ADVENZYMES,Advanced Enzyme,239,50,189,,1,13,10,28,,21,1.85,,,
01-03-2015,ADVENZYMES,Advanced Enzyme,222,91,131,,1,9,9,74,,51,4.6,,,
01-03-2016,ADVENZYMES,Advanced Enzyme,293,138,155,,-3,8,9,118,,77,6.97,,,
01-03-2017,ADVENZYMES,Advanced Enzyme,329,152,177,,3,4,13,137,,93,8.2,,,
01-03-2018,ADVENZYMES,Advanced Enzyme,391,165,226,,1,9,18,139,,94,8.07,,,
01-03-2019,ADVENZYMES,Advanced Enzyme,420,184,236,,5,5,21,162,,116,9.95,,,
01-03-2020,ADVENZYMES,Advanced Enzyme,444,203,241,,6,4,26,179,,133,11.58,,,
01-03-2021,ADVENZYMES,Advanced Enzyme,502,232,269,,9,3,28,210,,151,13.09,,,
01-03-2022,ADVENZYMES,Advanced Enzyme,529,203,327,,6,3,35,171,,124,10.7,,,
01-03-2023,ADVENZYMES,Advanced Enzyme,541,158,382,,21,3,35,140,,104,9.45,,,
01-03-2024,ADVENZYMES,Advanced Enzyme,624,206,418,,21,4,35,188,,137,11.92,,,
01-03-2025,ADVENZYMES,Advanced Enzyme,637,196,441,,33,5,37,187,,134,11.72,,,
01-03-2026,ADVENZYMES,Advanced Enzyme,710,211,498,,48,3,40,216,,155,13.61,,,
01-06-2014,CAPLIPOINT,Caplin Point Lab,173,36,137,,4,1,4,36,,26,3.42,,,
01-06-2015,CAPLIPOINT,Caplin Point Lab,252,60,192,,3,1,8,53,,41,5.43,,,
01-03-2016,CAPLIPOINT,Caplin Point Lab,239,64,175,,4,0,7,60,,46,6.05,,,
01-03-2017,CAPLIPOINT,Caplin Point Lab,402,125,276,,10,1,13,121,,96,12.65,,,
01-03-2018,CAPLIPOINT,Caplin Point Lab,540,195,345,,13,1,19,188,,145,19.15,,,
01-03-2019,CAPLIPOINT,Caplin Point Lab,649,232,417,,19,1,23,227,,177,23.35,,,
01-03-2020,CAPLIPOINT,Caplin Point Lab,863,260,603,,41,0,32,269,,215,28.42,,,
01-03-2021,CAPLIPOINT,Caplin Point Lab,1061,329,732,,23,2,37,314,,251,32.03,,,
01-03-2022,CAPLIPOINT,Caplin Point Lab,1269,395,874,,38,1,47,386,,308,39.56,,,
01-03-2023,CAPLIPOINT,Caplin Point Lab,1467,442,1025,,55,1,45,451,,377,49.57,,,
01-03-2024,CAPLIPOINT,Caplin Point Lab,1694,552,1142,,66,1,53,564,,461,60.19,,,
01-03-2025,CAPLIPOINT,Caplin Point Lab,1937,651,1287,,92,1,66,677,,541,70.56,,,
01-03-2026,CAPLIPOINT,Caplin Point Lab,2089,725,1365,,113,1,71,766,,622,80.74,,,
01-03-2014,CDSL,Central Depository,89,33,56,,35,0,5,62,,50,2.36,,,
01-03-2015,CDSL,Central Depository,105,45,60,,23,0,6,63,,43,2.09,,,
01-03-2016,CDSL,Central Depository,123,64,59,,72,0,4,131,,91,4.35,,,
01-03-2017,CDSL,Central Depository,146,79,67,,41,0,4,117,,87,4.1,,,
01-03-2018,CDSL,Central Depository,188,110,77,,38,0,7,141,,104,4.94,,,
