Feature,Weight,Feature_Rank
Trend_Strength,0.2536685978946678,1
EPS,0.23233340019852236,2
Value_Score,0.19945733684468064,3
Low_20,0.16611384247347252,4
EMA_Spread_Z,0.14842682258865678,5
Trend,0.0,
BB_Z200,0.0,
Price_to_MA200,0.0,
Value_Rank,0.0,
Trend_Strength_Z,0.0,
MA10,0.0,
EMA20,0.0,
Close_Lag3,0.0,
MA50,0.0,
Close_Lag5,0.0,
EMA50,0.0,
EMA10,0.0,
EMA_S,0.0,
Close_Lag2,0.0,
EMA_M,0.0,
SMA_S,0.0,
Close_Lag1,0.0,
High_20,0.0,
EMA200,0.0,
MA200,0.0,
MA20,0.0,
SMA_L,0.0,
ATR_14,0.0,
EMA_Spread,0.0,
ATR,0.0,
ATR_Z,0.0,
Return_Lag5,0.0,
Price_to_MA50,0.0,
Reversal,0.0,
MACD_Signal,0.0,
Regime_Strength,0.0,
Momentum_ATR,0.0,
Momentum_ATR_Z,0.0,
Return_Lag10,0.0,
BB_Z50,0.0,
MACD,0.0,
MACD_Z,0.0,
Return_10,0.0,
Return_10_Z,0.0,
Reversal_5,0.0,
Return_5,0.0,
Return_5_Z,0.0,
RSI,0.0,
RSI_Z,0.0,
Reversal_10,0.0,
Volume_Ratio,0.0,
Volume_Ratio_Z,0.0,
Momentum_Vol,0.0,
Momentum_Vol_Z,0.0,
Gap,0.0,
Gap_Z,0.0,
Volume_Change_Z,0.0,
Volume_Change,0.0,
Return_Lag3,0.0,
Range_Position,0.0,
Range_Position_Z,0.0,
Return_Lag2,0.0,
Momentum_Rank,0.0,
Volume_MA,0.0,
Momentum,0.0,
Price_to_MA20,0.0,
Trend_Z,0.0,
Vol_Z,0.0,
BB_Z20,0.0,
MACD_Hist,0.0,
MACD_Hist_Z,0.0,
Price_to_MA10,0.0,
BB_Z10,0.0,
Regime_Score,0.0,
Log_Return,0.0,
Return,0.0,
Return_Lag1,0.0,
Return_Z,0.0,
Return_Rank,0.0,
Vol_Regime,0.0,
Momentum_Z,0.0,
Volatility_Z,0.0,
Volatility_Rank,0.0,
PE_Rank,0.0,
PE_Z,0.0,
Volatility,0.0,
PE,0.0,
PE_Change,0.0,
EPS_Growth,0.0,
EPS_Growth_Z,0.0,
