Feature,Historical_IC,Recent_IC,IC_Delta,Historical_ICIR,Recent_ICIR,ICIR_Delta,Recent_Positive_Pct,IC_Trend
ATR,0.019873913797525233,0.11092105263157893,0.0910471388340537,0.0701361106207999,0.5643585628873846,0.49422245226658473,0.7,-3.86619361229885e-06
ATR_14,0.020400155860327458,0.11317139001349526,0.09277123415316779,0.07193494430211225,0.5730716020357491,0.5011366577336369,0.7,-4.369626994916117e-06
ATR_Z,0.019871773788590678,0.11092105263157893,0.09104927884298826,0.07012895252236273,0.5643585628873846,0.4942296103650219,0.7,-3.87018516636345e-06
BB_Z10,-0.011298938954910912,0.034008097165991916,0.045307036120902824,-0.04971634599726306,0.21176508347384543,0.2614814294711085,0.6166666666666667,1.3576605528343918e-05
BB_Z20,-0.009265708606762933,0.0532557354925776,0.06252144409934053,-0.039453268317448865,0.33084800855898144,0.37030127687643033,0.6166666666666667,2.191592610873297e-05
BB_Z200,0.029781647952287712,0.06471659919028341,0.0349349512379957,0.1175338228865067,0.4017734174848696,0.2842395945983629,0.6333333333333333,1.2044537745424766e-05
BB_Z50,0.0025823608409361654,0.07908906882591094,0.07650670798497478,0.010742223123108713,0.4560745344939229,0.4453323113708142,0.5833333333333334,1.5074731150486157e-05
Close_Lag1,0.026274249909898056,0.11543536559215699,0.08916111568225893,0.08657933072013206,0.6251226303147567,0.5385432995946247,0.7833333333333333,-4.629723986586441e-06
Close_Lag2,0.026669782872275574,0.1153476531240233,0.08867787025174773,0.08790889966652106,0.6237401569343556,0.5358312572678345,0.7833333333333333,-4.6091281664871095e-06
Close_Lag3,0.026855535899377097,0.11603957120967151,0.08918403531029441,0.08853521322518697,0.6263518602945173,0.5378166470693303,0.7833333333333333,-4.566186998463974e-06
Close_Lag5,0.02687939302918416,0.11767398809415887,0.09079459506497471,0.08863754525789472,0.6372353034917396,0.5485977582338449,0.7833333333333333,-4.579163271510129e-06
EMA10,0.026913681809576546,0.11764170040485834,0.09072801859528179,0.08880103415353349,0.6353015900917912,0.5465005559382577,0.7833333333333333,-4.717470876263041e-06
EMA20,0.027006431034929904,0.1180161943319838,0.0910097632970539,0.08919061573543982,0.6368854969180167,0.5476948811825768,0.7833333333333333,-5.156099615422631e-06
EMA200,0.02575371028935929,0.09920715249662616,0.07345344220726688,0.08554859225632064,0.5278706309723885,0.4423220387160679,0.7666666666666667,-7.794142731667003e-06
EMA50,0.026881960133409013,0.11520917678812416,0.08832721665471514,0.08894974024685512,0.6151815474215956,0.5262318071747405,0.7666666666666667,-6.218155021824706e-06
EMA_M,0.026575492780036,0.11506072874493928,0.08848523596490328,0.08794492055925499,0.6165843318042653,0.5286394112450103,0.7666666666666667,-5.549273567282973e-06
EMA_S,0.026748076685552995,0.11729082321187585,0.09054274652632285,0.0883048927134036,0.6324338716643041,0.5441289789509005,0.7833333333333333,-5.002747163985066e-06
EMA_Spread,0.01877002341541875,0.06261470985155196,0.04384468643613321,0.07215755889773655,0.40057733771772686,0.3284197788199903,0.65,1.5964503294018066e-05
EMA_Spread_Z,0.018773708818675572,0.06261470985155196,0.04384100103287639,0.07217206505316748,0.40057733771772686,0.3284052726645594,0.65,1.597166889108643e-05
EPS,0.046347027019529086,0.02397098515519568,-0.022376041864333406,0.16735630180556546,0.13425427382166077,-0.033102027983904686,0.55,-2.4667129239329947e-07
Gap,-0.0011129753051340237,0.03730431848852902,0.03841729379366304,-0.004924413075658525,0.24269824073630872,0.24762265381196724,0.55,-1.9058716058327239e-06
Gap_Z,-0.0011639103325523461,0.039416329284750334,0.04058023961730268,-0.005151374706767384,0.2544958170960461,0.2596471918028135,0.55,-1.7730961097033012e-06
High_20,0.02626851808947861,0.1165688259109312,0.0903003078214526,0.08715272068823678,0.6334854849107621,0.5463327642225253,0.7833333333333333,-5.678636008056704e-06
Log_Return,-0.015129290322449388,-0.005149968383411784,0.009979321939037604,-0.06471387119828104,-0.02617992777873854,0.0385339434195425,0.5333333333333333,9.260143799023429e-06
Low_20,0.027236791981666363,0.11578947368421053,0.08855268170254416,0.08948969909064844,0.6259068866089598,0.5364171875183114,0.7833333333333333,-5.190282751327262e-06
MA10,0.02696205178200317,0.11865384615384617,0.091691794371843,0.08896538919619011,0.6441758291338303,0.5552104399376402,0.7833333333333333,-4.8182585813687716e-06
MA20,0.027188024264781476,0.11664304993252364,0.08945502566774216,0.0898503552247316,0.6281564838356365,0.5383061286109049,0.7833333333333333,-5.456464441387881e-06
MA200,0.025828218828804456,0.10144062078272602,0.07561240195392156,0.08589174044092976,0.5422148415521671,0.4563231011112374,0.75,-7.432643081597126e-06
MA50,0.026928550841566586,0.11269568151147098,0.08576713066990439,0.08919988463132739,0.6115267085618729,0.5223268239305454,0.7666666666666667,-6.4504989991133506e-06
MACD,0.0006847343866462751,0.08924763832658571,0.08856290393993943,0.0028993776900081694,0.6217171349667364,0.6188177572767283,0.7,1.2026994088003046e-05
MACD_Hist,-0.008831690107286268,0.016005398110661276,0.024837088217947542,-0.038632674163828054,0.0914413820110229,0.13007405617485096,0.5,1.1277079254599217e-05
MACD_Hist_Z,-0.008845355980984546,0.016005398110661276,0.024850754091645822,-0.038694703623741125,0.0914413820110229,0.13013608563476403,0.5,1.1250424851806892e-05
MACD_Signal,0.004466057467528568,0.08010458839406208,0.07563853092653351,0.018676768553414172,0.5106636805682168,0.4919869120148026,0.7166666666666667,9.962939039087395e-06
MACD_Z,0.0006847343866462751,0.08924763832658571,0.08856290393993943,0.0028993776900081694,0.6217171349667364,0.6188177572767283,0.7,1.2026994088003046e-05
Momentum,-0.005702690731627567,0.041713900134952776,0.047416590866580344,-0.02266298926395278,0.21388717408875182,0.2365501633527046,0.55,2.655486617855708e-05
Momentum_ATR,0.004229156803332534,0.029132928475033737,0.024903771671701203,0.01699425789039862,0.16308191544928835,0.14608765755888972,0.55,2.0362683372317368e-05
Momentum_ATR_Z,0.004173409117835202,0.029132928475033737,0.024959519357198534,0.016768737257096485,0.16308191544928835,0.14631317819219186,0.55,2.0255366158181932e-05
Momentum_Rank,-0.005343085392558057,0.03318151147098516,0.03852459686354322,-0.02175596978539635,0.18845533481448096,0.2102113045998773,0.5333333333333333,1.897139103565334e-05
Momentum_Vol,-0.0018175848368082875,0.0568927125506073,0.05871029738741559,-0.007797106114850183,0.36182964380127597,0.36962674991612615,0.6166666666666667,1.7250191518188304e-05
Momentum_Vol_Z,-0.0018306663582784582,0.0568927125506073,0.05872337890888576,-0.007853312299832656,0.36182964380127597,0.36968295610110863,0.6166666666666667,1.7224869021773826e-05
Momentum_Z,-0.023131093147436253,0.027892740539799357,0.051023833687235606,-0.09713613222255231,0.12146793725135682,0.21860406947390915,0.5666666666666667,2.8735006629845336e-05
PE,-0.02882995520588383,0.13655360400195857,0.1653835592078424,-0.12255258813908691,0.9474100387136585,1.0699626268527453,0.7833333333333333,-1.6254204847539434e-05
PE_Change,-0.02929491814642501,-0.022865825887598175,0.006429092258826836,-0.1275651411499869,-0.1136479130499752,0.013917228100011711,0.4666666666666667,1.2498864941420912e-05
PE_Rank,-0.02586684479347371,0.13608778115743717,0.16195462595091087,-0.10894827050614316,0.9381534262644733,1.0471016967706164,0.7833333333333333,-1.619977293470367e-05
PE_Z,-0.027630497988995553,0.13560508067362145,0.163235578662617,-0.116954359423691,0.9341396748736999,1.051094034297391,0.7833333333333333,-1.5142080307617557e-05
Price_to_MA10,-0.009533147670969863,0.03375843454790824,0.043291582218878105,-0.03988134691661047,0.18379196503784845,0.22367331195445891,0.55,1.2635514915692616e-05
Price_to_MA20,-0.005835823745159941,0.06066801619433199,0.06650383993949194,-0.02357103569923097,0.31339776775403305,0.336968803453264,0.5833333333333334,2.3409042464916724e-05
Price_to_MA200,0.030651763900760493,0.07072537112010796,0.04007360721934747,0.11432629398256045,0.3953131033288752,0.28098680934631476,0.65,1.7158192184953926e-05
Price_to_MA50,0.005790445632868232,0.08213562753036438,0.07634518189749614,0.022504973474827297,0.4862509463345836,0.46374597285975633,0.6333333333333333,1.6521003853123255e-05
RSI,-0.0008617669960922891,0.08856275303643726,0.08942452003252956,-0.003604732010384199,0.5131029773770169,0.5167077093874012,0.6166666666666667,2.892680578859148e-05
RSI_Z,-0.0008662697680648779,0.08856275303643726,0.08942902280450214,-0.0036235884621255766,0.5131029773770169,0.5167265658391426,0.6166666666666667,2.8918108437873345e-05
Range_Position,-0.0025031322412733354,0.07490553306342781,0.07740866530470115,-0.010792576309249976,0.4519866770859418,0.46277925339519177,0.6333333333333333,2.1817399848682367e-05
Range_Position_Z,-0.002508551987455117,0.07490553306342781,0.07741408505088293,-0.010816336893915209,0.4519866770859418,0.462803013979857,0.6333333333333333,2.1806953408444645e-05
Regime_Score,-0.013510283202850939,0.0009974216959511165,0.014507704898802055,-0.057474670736967104,0.004634934942463674,0.06210960567943078,0.43333333333333335,2.333128564342964e-05
Regime_Strength,0.003885444603528696,0.0417354705193433,0.03785002591581461,0.017539344378186515,0.22835591668190405,0.21081657230371753,0.6333333333333333,1.3090191557465796e-05
Return,-0.015129290322449388,-0.005149968383411784,0.009979321939037604,-0.06471387119828104,-0.02617992777873854,0.0385339434195425,0.5333333333333333,9.260143799023429e-06
Return_10,0.0004154268432575105,0.042908232118758445,0.042492805275500936,0.0016981835379171553,0.2532252192598202,0.25152703572190305,0.6,2.2149970795083682e-05
Return_10_Z,0.00039342791361210645,0.042908232118758445,0.04251480420514634,0.001608269696699166,0.2532252192598202,0.2516169495631211,0.6,2.2107438187685047e-05
Return_5,-0.0003310551682057216,0.055728744939271255,0.05605980010747698,-0.0013899469116371024,0.2960560780778615,0.2974460249894986,0.6166666666666667,9.682206243787665e-06
Return_5_Z,-0.000340732596479293,0.055728744939271255,0.05606947753575055,-0.0014306269243323894,0.2960560780778615,0.2974867050021939,0.6166666666666667,9.663544303340352e-06
Return_Lag1,-0.015129290322449388,-0.005149968383411784,0.009979321939037604,-0.06471387119828104,-0.02617992777873854,0.0385339434195425,0.5333333333333333,9.260143799023429e-06
Return_Lag10,0.0026075397520278648,0.010867071524966264,0.0082595317729384,0.011325424292901048,0.05718964032714974,0.04586421603424869,0.5666666666666667,1.0081499238720738e-05
Return_Lag2,-0.00471854904015003,0.02398469967844188,0.02870324871859191,-0.02029082958060573,0.12257838781007199,0.14286921739067773,0.5833333333333334,7.539899847377313e-06
Return_Lag3,-0.0017646110966146656,0.004300019522167479,0.006064630618782145,-0.007583097003647424,0.022150818988220865,0.02973391599186829,0.5,7.60283588111619e-06
Return_Lag5,0.010003288375134936,0.032997814287344364,0.022994525912209428,0.0438030339626566,0.1733367258126836,0.129533691850027,0.5166666666666667,2.873511362810374e-06
Return_Rank,-0.015154481984755951,-0.005149968383411784,0.010004513601344169,-0.06483336239232994,-0.02617992777873854,0.0386534346135914,0.5333333333333333,9.211196300673777e-06
Return_Z,-0.015147658913591863,-0.005149968383411784,0.00999769053018008,-0.06480143862454799,-0.02617992777873854,0.03862151084580945,0.5333333333333333,9.22440694469371e-06
Reversal,0.00532690296521549,-0.03318151147098516,-0.03850841443620065,0.021689798492283953,-0.18845533481448096,-0.2101451333067649,0.4666666666666667,-1.9002641849866386e-05
Reversal_10,-0.0004154268432575105,-0.042908232118758445,-0.042492805275500936,-0.0016981835379171553,-0.2532252192598202,-0.25152703572190305,0.4,-2.2149970795083682e-05
Reversal_5,0.0003310551682057216,-0.055728744939271255,-0.05605980010747698,0.0013899469116371024,-0.2960560780778615,-0.2974460249894986,0.38333333333333336,-9.682206243787665e-06
SMA_L,0.02330351258863543,0.1209116373822256,0.09760812479359017,0.0771003249910297,0.5867197105548662,0.5096193855638365,0.7333333333333333,-3.036005184023964e-06
SMA_S,0.02638728280737491,0.116474358974359,0.09008707616698408,0.08723425928517295,0.6268014684982819,0.539567209213109,0.7833333333333333,-4.98708085331461e-06
Trend,0.03252851272769728,0.05610898905016551,0.02358047632246823,0.12107248219740764,0.2824804480453064,0.1614079658478988,0.6166666666666667,9.870291779932701e-06
Trend_Strength,0.0351236780903131,0.09025641025641026,0.05513273216609716,0.13036840083892234,0.517914998161867,0.3875465973229447,0.7,1.633965086607058e-05
Trend_Strength_Z,0.03512294100966174,0.09025641025641026,0.05513346924674852,0.130365618389664,0.517914998161867,0.38754937977220305,0.7,1.6338217746656906e-05
Trend_Z,-0.006791539898558971,-0.02310415075120957,-0.0163126108526506,-0.02874853916152181,-0.12201910595858619,-0.09327056679706437,0.35,1.083064642675838e-05
Value_Rank,0.025739165799698174,-0.13608778115743717,-0.16182694695713534,0.10841353838892026,-0.9381534262644733,-1.0465669646533935,0.21666666666666667,1.613288254277381e-05
Value_Score,0.03248966693622696,-0.14045571420679037,-0.17294538114301733,0.1412622659520397,-0.9916159531323357,-1.1328782190843754,0.21666666666666667,1.2209242645378356e-05
Vol_Regime,-0.022471324528750194,-0.020019631484638437,0.0024516930441117572,-0.08860832733453687,-0.11559958252967303,-0.026991255195136163,0.4,-3.4279485095039655e-06
Vol_Z,-0.007810635018838374,0.008412493288654281,0.016223128307492656,-0.035244577097280294,0.04558347975879639,0.08082805685607669,0.5166666666666667,-1.8210197972499488e-06
Volatility,-0.03228195336775988,0.0031815114709851534,0.03546346483874503,-0.11556150536195497,0.015983217313004772,0.13154472267495976,0.5166666666666667,-2.3536705503632765e-06
Volatility_Rank,-0.02757337665548678,-0.0062618083670715205,0.02131156828841526,-0.10240112978705825,-0.03176911268051397,0.07063201710654428,0.4666666666666667,-2.2464965877281574e-06
