Feature,Category,Group,Decay_Multiplier,Decay_Score,Historical_IC,Recent_IC,Historical_ICIR,Recent_ICIR
EPS,Value,Fundamental,0.9921405306006499,0.4803513265016247,0.046347027019529086,0.02397098515519568,0.16735630180556546,0.13425427382166077
Value_Score,Unknown,Unknown,0.8403618423932928,0.10090460598323187,0.03248966693622696,-0.14045571420679037,0.1412622659520397,-0.9916159531323357
Trend_Strength,Unknown,Unknown,1.0870766242463166,0.7176915606157912,0.0351236780903131,0.09025641025641026,0.13036840083892234,0.517914998161867
Trend_Strength_Z,Unknown,Unknown,1.0,,0.03512294100966174,0.09025641025641026,0.130365618389664,0.517914998161867
Trend,Unknown,Unknown,1.0,,0.03252851272769728,0.05610898905016551,0.12107248219740764,0.2824804480453064
BB_Z200,Unknown,Unknown,1.0,,0.029781647952287712,0.06471659919028341,0.1175338228865067,0.4017734174848696
Price_to_MA200,Unknown,Unknown,1.0,,0.030651763900760493,0.07072537112010796,0.11432629398256045,0.3953131033288752
Value_Rank,Unknown,Unknown,1.0,,0.025739165799698174,-0.13608778115743717,0.10841353838892026,-0.9381534262644733
Low_20,Unknown,Unknown,1.0945233493589726,0.7363083733974312,0.027236791981666363,0.11578947368421053,0.08948969909064844,0.6259068866089598
MA20,Unknown,Unknown,1.0,,0.027188024264781476,0.11664304993252364,0.0898503552247316,0.6281564838356365
MA10,Unknown,Unknown,1.0,,0.02696205178200317,0.11865384615384617,0.08896538919619011,0.6441758291338303
EMA20,Unknown,Unknown,1.0,,0.027006431034929904,0.1180161943319838,0.08919061573543982,0.6368854969180167
Close_Lag3,Unknown,Unknown,1.0,,0.026855535899377097,0.11603957120967151,0.08853521322518697,0.6263518602945173
MA50,Unknown,Unknown,1.0,,0.026928550841566586,0.11269568151147098,0.08919988463132739,0.6115267085618729
Close_Lag5,Unknown,Unknown,1.0,,0.02687939302918416,0.11767398809415887,0.08863754525789472,0.6372353034917396
EMA50,Unknown,Unknown,1.0,,0.026881960133409013,0.11520917678812416,0.08894974024685512,0.6151815474215956
EMA10,Unknown,Unknown,1.0,,0.026913681809576546,0.11764170040485834,0.08880103415353349,0.6353015900917912
EMA_S,Unknown,Unknown,1.0,,0.026748076685552995,0.11729082321187585,0.0883048927134036,0.6324338716643041
Close_Lag2,Unknown,Unknown,1.0,,0.026669782872275574,0.1153476531240233,0.08790889966652106,0.6237401569343556
EMA_M,Unknown,Unknown,1.0,,0.026575492780036,0.11506072874493928,0.08794492055925499,0.6165843318042653
SMA_S,Unknown,Unknown,1.0,,0.02638728280737491,0.116474358974359,0.08723425928517295,0.6268014684982819
Close_Lag1,Unknown,Unknown,1.0,,0.026274249909898056,0.11543536559215699,0.08657933072013206,0.6251226303147567
High_20,Unknown,Unknown,1.0,,0.02626851808947861,0.1165688259109312,0.08715272068823678,0.6334854849107621
EMA200,Unknown,Unknown,1.0,,0.02575371028935929,0.09920715249662616,0.08554859225632064,0.5278706309723885
MA200,Unknown,Unknown,1.0,,0.025828218828804456,0.10144062078272602,0.08589174044092976,0.5422148415521671
SMA_L,Unknown,Unknown,1.0,,0.02330351258863543,0.1209116373822256,0.0771003249910297,0.5867197105548662
ATR_14,Unknown,Unknown,1.0,,0.020400155860327458,0.11317139001349526,0.07193494430211225,0.5730716020357491
EMA_Spread_Z,Unknown,Unknown,1.0727885058405147,0.6819712646012868,0.018773708818675572,0.06261470985155196,0.07217206505316748,0.40057733771772686
EMA_Spread,Unknown,Unknown,1.0,,0.01877002341541875,0.06261470985155196,0.07215755889773655,0.40057733771772686
