Fold,Train_Start,Train_End,Test_Start,Test_End,Train_Days,Test_Days,Train_Samples,Test_Samples,Sharpe,CAGR,Max_Drawdown,Volatility,Accuracy,Final_Return,Win_Rate,Active_Days,Avg_Turnover,Median_Turnover,Turnover95,Max_Turnover,Avg_Holdings,Deadband_Pct
1,2017-02-09,2019-02-25,2019-02-26,2019-06-03,504,63,6594,957,2.112554764604815,0.8667447289472274,-0.15168619001336164,0.3190581178762742,0.5141065830721003,1.1688835141701535,0.49206349206349204,62,0.3044542766333511,0.20922069868302637,0.9957161107638427,1.5487528225200664,3.984126984126984,0.6872727272727273
2,2017-05-18,2019-06-03,2019-06-04,2019-09-04,504,63,7130,1026,-1.2606194859794828,-0.46902468235508943,-0.2811843833126635,0.4293600372381851,0.48927875243664715,0.8536278650274695,0.49206349206349204,62,0.31055746518720956,0.16341116711538348,0.9999999959,1.497753938266679,4.349206349206349,0.7214765100671141
3,2017-08-17,2019-09-04,2019-09-05,2019-12-09,504,63,7302,1028,1.8289685578690604,0.9505524134554069,-0.1586114890260304,0.4096929373172852,0.5087548638132295,1.181787538484206,0.5079365079365079,60,0.28515638632306883,0.17013327467102787,1.1223311775677847,1.3065721728425044,4.126984126984127,0.7017543859649122
4,2017-11-17,2019-12-09,2019-12-10,2020-03-09,504,63,7542,1103,-3.922739235167934,-0.6825163434646633,-0.2493623505226763,0.28181956965946264,0.4932003626473255,0.7506376494773237,0.36507936507936506,59,0.21377493439596332,0.0,0.9999999986440506,1.0248962622089355,4.0476190476190474,0.7588652482269503
5,2018-02-19,2020-03-09,2020-03-11,2020-06-15,504,63,7711,938,2.848354905518512,4.0404397278181134,-0.19975139382761864,0.6383904210982677,0.48294243070362475,1.488776597454195,0.5645161290322581,60,0.4006722080204792,0.32300350697514857,0.9999999977104669,1.3324886340804603,3.5161290322580645,0.5679012345679012
6,2018-05-23,2020-06-15,2020-06-16,2020-09-10,504,63,7742,1048,2.6292464656366406,1.4723910797264699,-0.16439215045106467,0.37048365423771695,0.4818702290076336,1.2539473211974237,0.5714285714285714,59,0.26876315976165477,0.17641073569336038,0.999999997785925,1.255370173085308,4.095238095238095,0.6829268292682927
7,2018-08-21,2020-09-10,2020-09-11,2020-12-10,504,63,7902,1063,3.72672170039928,2.0255995819470543,-0.09574523399629425,0.3103642009846836,0.49482596425211667,1.3188726520187053,0.5873015873015873,60,0.19232861772307114,0.0,0.6889631940183468,1.507784701682648,4.190476190476191,0.7551724137931034
8,2018-11-27,2020-12-10,2020-12-11,2021-03-12,504,63,8039,1083,4.56948597385551,3.3188777014572146,-0.0783326577073063,0.3328183301895958,0.5023084025854109,1.4415932049217217,0.6031746031746031,62,0.38773138411115576,0.33860618751799726,0.9865124071009856,1.3464241986970178,3.6666666666666665,0.6342412451361867
9,2019-02-26,2021-03-12,2021-03-15,2021-06-16,504,63,8246,1045,2.8821553148093466,1.384939440021487,-0.07743186733621421,0.3191716307889825,0.5167464114832536,1.2384298545106773,0.532258064516129,60,0.39218118353684167,0.29539551627771543,0.9999999981813296,1.611031233316527,3.9193548387096775,0.6282527881040892
10,2019-06-04,2021-06-16,2021-06-17,2021-09-16,504,63,8334,1039,1.9584209501085934,0.7391876380792866,-0.2035114904622965,0.3061772962675868,0.5052935514918191,1.148382616938675,0.49206349206349204,62,0.3004919304535992,0.22230130240205503,0.9920490848541013,1.464019846298554,4.111111111111111,0.6982456140350877
11,2019-09-05,2021-09-16,2021-09-17,2021-12-17,504,63,8347,1098,0.3364622728505244,0.05797027970982249,-0.17354670331952987,0.2862932962777696,0.5145719489981785,1.0141877648955573,0.4126984126984127,60,0.24285742977121494,0.0,0.9956532477242035,1.4731353588151561,4.174603174603175,0.7620689655172413
12,2019-12-10,2021-12-17,2021-12-20,2022-03-21,504,63,8417,1102,0.906053115589436,0.27587080374135775,-0.18070485124247668,0.3279692634763985,0.5235934664246824,1.0628003159693946,0.5238095238095238,62,0.405077622360286,0.2859404571821311,0.9999999969423876,1.3157894686523166,4.158730158730159,0.6310344827586207
13,2020-03-11,2022-03-21,2022-03-22,2022-06-21,504,63,8416,1193,-0.41398878122426197,-0.15265518284294377,-0.12197582669764895,0.29615407392240434,0.5020955574182733,0.9594338665935448,0.42857142857142855,61,0.2397676977229725,0.1527786016795345,0.8652641887303484,1.4415762717375769,4.126984126984127,0.759581881533101
14,2020-06-16,2022-06-21,2022-06-22,2022-09-21,504,63,8671,1056,4.392556494189291,2.0296572608609993,-0.06571906098571037,0.2603955313598217,0.48674242424242425,1.3193146199915244,0.5396825396825397,60,0.27118794060664275,0.16831139512767698,0.9999999951,1.0828245918616657,4.0476190476190474,0.7067137809187279
15,2020-09-11,2022-09-21,2022-09-22,2022-12-22,504,63,8679,1048,0.24004280283283666,0.029655556773838132,-0.08074618149547837,0.2588711965244539,0.5190839694656488,1.00733283840158,0.42857142857142855,60,0.29619384523184944,0.17549972480089643,1.0870421060750513,1.5140186860635405,3.9523809523809526,0.6920289855072463
16,2020-12-11,2022-12-22,2022-12-23,2023-03-23,504,63,8664,1139,1.3455275591724505,0.2574696706150976,-0.07282112194550114,0.1824764603913906,0.5013169446883231,1.057985092449471,0.43548387096774194,59,0.24796204689333715,0.07949557368646856,0.9912482227237769,1.187755114221257,4.193548387096774,0.7335640138408305
