PERIOD,REVENUE_,INTEREST,EXPENSES_,FINANCING_PROFIT,FINANCING_MARGIN__PERCENT,OTHER_INCOME_,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,DIVIDEND_PAYOUT__PERCENT,TICKER,COMPANY
21407,21407,13053,748,7607,36,23,5,7624,28.0,5462,16.55,22.0,PFC,Power Finance Corporation
24988,24988,15456,1103,8429,34,25,8,8446,29.0,6004,18.19,20.0,PFC,Power Finance Corporation
27861,27861,16657,2042,9162,33,25,20,9167,33.0,6184,18.74,30.0,PFC,Power Finance Corporation
27581,27581,16768,5538,5275,19,30,41,5264,58.0,2236,6.78,59.0,PFC,Power Finance Corporation
48624,48624,30289,6583,11752,24,42,15,11779,25.0,8797,20.27,31.0,PFC,Power Finance Corporation
54106,54106,34627,1696,17783,33,94,15,17862,29.0,12640,30.06,0.0,PFC,Power Finance Corporation
62189,62189,40845,7332,14012,23,105,24,14093,33.0,9477,21.58,35.0,PFC,Power Finance Corporation
71656,71656,44684,7102,19871,28,46,25,19891,21.0,15716,35.6,22.0,PFC,Power Finance Corporation
76262,76262,44709,8215,23338,31,79,35,23382,20.0,18768,42.47,23.0,PFC,Power Finance Corporation
77807,77807,47017,4290,26501,34,47,52,26496,20.0,21179,48.15,22.0,PFC,Power Finance Corporation
91508,91508,57968,-33,33573,37,69,53,33588,21.0,26461,59.88,23.0,PFC,Power Finance Corporation
107106,107106,64670,3833,38603,36,85,56,38632,21.0,30514,69.67,23.0,PFC,Power Finance Corporation
115789,115789,68674,4888,42227,36,149,63,42312,,33386,76.42,,PFC,Power Finance Corporation
