PERIOD,SALES_,EXPENSES_,OPERATING_PROFIT,OPM__PERCENT,OTHER_INCOME_,INTEREST,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,DIVIDEND_PAYOUT__PERCENT,TICKER,COMPANY
20403,20403,20465,-62,0,-495,2070,777,-3404,4.0,-3548,-11.43,0.0,SUZLON,Suzlon Energy
19954,19954,25703,-5749,-29,-194,2065,809,-8816,4.0,-9133,-19.95,0.0,SUZLON,Suzlon Energy
9483,9483,9767,-283,-3,2563,1304,392,584,-4.0,583,0.94,0.0,SUZLON,Suzlon Energy
12714,12714,10235,2479,20,109,1288,389,912,1.0,852,1.38,0.0,SUZLON,Suzlon Energy
8116,8116,7140,977,12,555,1581,342,-391,-0.0,-384,-0.57,0.0,SUZLON,Suzlon Energy
5025,5025,5048,-23,0,92,1270,342,-1543,-1.0,-1537,-2.32,0.0,SUZLON,Suzlon Energy
2973,2973,3829,-856,-29,-42,1367,419,-2684,0.0,-2692,-4.01,0.0,SUZLON,Suzlon Energy
3346,3346,2809,537,16,823,996,258,105,4.0,104,0.1,0.0,SUZLON,Suzlon Energy
6582,6582,5682,900,14,95,735,260,0,41648.0,-177,-0.17,0.0,SUZLON,Suzlon Energy
5971,5971,5137,833,14,2739,421,260,2892,0.0,2887,2.28,0.0,SUZLON,Suzlon Energy
6529,6529,5492,1037,16,-24,164,190,659,-0.0,660,0.49,0.0,SUZLON,Suzlon Energy
10890,10890,9026,1863,17,97,255,259,1447,-43.0,2072,1.53,0.0,SUZLON,Suzlon Energy
15029,15029,12277,2752,18,118,412,318,2140,,3230,2.38,,SUZLON,Suzlon Energy
