PERIOD,REVENUE_,INTEREST,EXPENSES_,FINANCING_PROFIT,FINANCING_MARGIN__PERCENT,OTHER_INCOME_,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,DIVIDEND_PAYOUT__PERCENT,TICKER,COMPANY,SALES_,OPERATING_PROFIT,OPM__PERCENT
21407,21407.0,13053,748,7607.0,36.0,23,5,7624,28.0,5462,16.55,22.0,PFC,Power Finance Corporation,,,
24988,24988.0,15456,1103,8429.0,34.0,25,8,8446,29.0,6004,18.19,20.0,PFC,Power Finance Corporation,,,
27861,27861.0,16657,2042,9162.0,33.0,25,20,9167,33.0,6184,18.74,30.0,PFC,Power Finance Corporation,,,
27581,27581.0,16768,5538,5275.0,19.0,30,41,5264,58.0,2236,6.78,59.0,PFC,Power Finance Corporation,,,
48624,48624.0,30289,6583,11752.0,24.0,42,15,11779,25.0,8797,20.27,31.0,PFC,Power Finance Corporation,,,
54106,54106.0,34627,1696,17783.0,33.0,94,15,17862,29.0,12640,30.06,0.0,PFC,Power Finance Corporation,,,
62189,62189.0,40845,7332,14012.0,23.0,105,24,14093,33.0,9477,21.58,35.0,PFC,Power Finance Corporation,,,
71656,71656.0,44684,7102,19871.0,28.0,46,25,19891,21.0,15716,35.6,22.0,PFC,Power Finance Corporation,,,
76262,76262.0,44709,8215,23338.0,31.0,79,35,23382,20.0,18768,42.47,23.0,PFC,Power Finance Corporation,,,
77807,77807.0,47017,4290,26501.0,34.0,47,52,26496,20.0,21179,48.15,22.0,PFC,Power Finance Corporation,,,
91508,91508.0,57968,-33,33573.0,37.0,69,53,33588,21.0,26461,59.88,23.0,PFC,Power Finance Corporation,,,
107106,107106.0,64670,3833,38603.0,36.0,85,56,38632,21.0,30514,69.67,23.0,PFC,Power Finance Corporation,,,
115789,115789.0,68674,4888,42227.0,36.0,149,63,42312,,33386,76.42,,PFC,Power Finance Corporation,,,
94648,,104,70167,,,3720,1799,26298,24.0,20060,50.68,78.0,TCS,Tata Consultancy Services,94648.0,24482.0,26.0
108646,,33,77969,,,3084,1888,31840,24.0,24338,61.58,35.0,TCS,Tata Consultancy Services,108646.0,30677.0,28.0
117966,,32,85655,,,4221,1987,34513,24.0,26357,66.71,35.0,TCS,Tata Consultancy Services,117966.0,32311.0,27.0
123104,,52,90588,,,3642,2014,34092,24.0,25880,67.46,37.0,TCS,Tata Consultancy Services,123104.0,32516.0,26.0
146463,,198,106957,,,4311,2056,41563,24.0,31562,83.87,36.0,TCS,Tata Consultancy Services,146463.0,39506.0,27.0
156949,,924,114840,,,4592,3529,42248,23.0,32447,86.19,85.0,TCS,Tata Consultancy Services,156949.0,42109.0,27.0
164177,,637,117631,,,1916,4065,43760,26.0,32562,87.67,43.0,TCS,Tata Consultancy Services,164177.0,46546.0,28.0
191754,,784,138697,,,4018,4604,51687,26.0,38449,104.75,41.0,TCS,Tata Consultancy Services,191754.0,53057.0,28.0
225458,,779,166199,,,3449,5022,56907,26.0,42303,115.19,100.0,TCS,Tata Consultancy Services,225458.0,59259.0,26.0
240893,,778,176597,,,3464,4985,61997,26.0,46099,126.88,58.0,TCS,Tata Consultancy Services,240893.0,64296.0,27.0
255324,,796,187917,,,3962,5242,65331,25.0,48797,134.2,94.0,TCS,Tata Consultancy Services,255324.0,67407.0,26.0
267021,,1227,194623,,,-124,5560,65487,24.0,49454,136.01,81.0,TCS,Tata Consultancy Services,267021.0,72398.0,27.0
20403,,2070,20465,,,-495,777,-3404,4.0,-3548,-11.43,0.0,SUZLON,Suzlon Energy,20403.0,-62.0,0.0
19954,,2065,25703,,,-194,809,-8816,4.0,-9133,-19.95,0.0,SUZLON,Suzlon Energy,19954.0,-5749.0,-29.0
9483,,1304,9767,,,2563,392,584,-4.0,583,0.94,0.0,SUZLON,Suzlon Energy,9483.0,-283.0,-3.0
12714,,1288,10235,,,109,389,912,1.0,852,1.38,0.0,SUZLON,Suzlon Energy,12714.0,2479.0,20.0
8116,,1581,7140,,,555,342,-391,-0.0,-384,-0.57,0.0,SUZLON,Suzlon Energy,8116.0,977.0,12.0
5025,,1270,5048,,,92,342,-1543,-1.0,-1537,-2.32,0.0,SUZLON,Suzlon Energy,5025.0,-23.0,0.0
2973,,1367,3829,,,-42,419,-2684,0.0,-2692,-4.01,0.0,SUZLON,Suzlon Energy,2973.0,-856.0,-29.0
3346,,996,2809,,,823,258,105,4.0,104,0.1,0.0,SUZLON,Suzlon Energy,3346.0,537.0,16.0
6582,,735,5682,,,95,260,0,41648.0,-177,-0.17,0.0,SUZLON,Suzlon Energy,6582.0,900.0,14.0
5971,,421,5137,,,2739,260,2892,0.0,2887,2.28,0.0,SUZLON,Suzlon Energy,5971.0,833.0,14.0
6529,,164,5492,,,-24,190,659,-0.0,660,0.49,0.0,SUZLON,Suzlon Energy,6529.0,1037.0,16.0
10890,,255,9026,,,97,259,1447,-43.0,2072,1.53,0.0,SUZLON,Suzlon Energy,10890.0,1863.0,17.0
15029,,412,12277,,,118,318,2140,,3230,2.38,,SUZLON,Suzlon Energy,15029.0,2752.0,18.0
