PERIOD,REVENUE_,INTEREST,EXPENSES_,FINANCING_PROFIT,FINANCING_MARGIN__PERCENT,OTHER_INCOME_,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,GROSS_NPA__PERCENT,NET_NPA__PERCENT,RAW_PDF,TICKER,COMPANY,SALES_,OPERATING_PROFIT,OPM__PERCENT
19639,19639.0,12129,900,6610.0,34.0,24,14,6619,21,5241,11.7,3.91,1.15,,PFC,Power Finance Corporation,,,
20061,20061.0,12637,-339,7763.0,39.0,13,14,7762,21,6129,14.17,3.66,1.03,,PFC,Power Finance Corporation,,,
21009,21009.0,13670,-65,7404.0,35.0,9,12,7401,19,5982,13.87,3.54,1.0,,PFC,Power Finance Corporation,,,
22391,22391.0,14313,-551,8629.0,39.0,13,13,8629,23,6628,14.65,3.4,0.98,,PFC,Power Finance Corporation,,,
23572,23572.0,14827,791,7954.0,34.0,22,14,7961,21,6294,14.33,3.13,0.86,,PFC,Power Finance Corporation,,,
24141,24141.0,15154,-589,9577.0,40.0,35,15,9597,21,7556,17.04,3.02,0.85,,PFC,Power Finance Corporation,,,
24717,24717.0,15521,310,8886.0,36.0,20,12,8894,19,7182,16.8,2.97,0.84,,PFC,Power Finance Corporation,,,
25722,25722.0,16008,366,9348.0,36.0,33,13,9368,23,7215,16.07,2.62,0.8,,PFC,Power Finance Corporation,,,
26798,26798.0,16562,429,9807.0,37.0,24,15,9816,21,7760,17.66,2.3,0.73,,PFC,Power Finance Corporation,,,
29265,29265.0,16584,2131,10550.0,36.0,20,16,10554,21,8358,19.14,1.64,0.38,,PFC,Power Finance Corporation,,,
28539,28539.0,17204,212,11123.0,39.0,90,14,11199,20,8981,20.81,1.47,0.31,,PFC,Power Finance Corporation,,,
28890,28890.0,17314,1514,10062.0,35.0,11,15,10057,22,7834,17.4,1.45,0.3,,PFC,Power Finance Corporation,,,
29095,29095.0,17572,1031,10492.0,36.0,27,18,10502,22,8212,19.07,1.26,0.23,,PFC,Power Finance Corporation,,,
59162,,272,43388,,,1175,1286,15391,26,11436,31.13,,,,TCS,Tata Consultancy Services,59162.0,15774.0,27.0
59381,,163,44383,,,1397,1243,14989,26,11120,30.26,,,,TCS,Tata Consultancy Services,59381.0,14998.0,25.0
59692,,159,43946,,,1006,1263,15330,26,11380,31.0,,,,TCS,Tata Consultancy Services,59692.0,15746.0,26.0
60583,,230,44195,,,-96,1233,14829,25,11097,30.56,,,,TCS,Tata Consultancy Services,60583.0,16388.0,27.0
61237,,226,44073,,,1157,1246,16849,26,12502,34.37,,,,TCS,Tata Consultancy Services,61237.0,17164.0,28.0
62613,,173,45951,,,962,1220,16231,25,12105,33.28,,,,TCS,Tata Consultancy Services,62613.0,16662.0,27.0
64259,,162,47528,,,729,1266,16032,25,11955,32.92,,,,TCS,Tata Consultancy Services,64259.0,16731.0,26.0
63973,,234,46939,,,1243,1377,16666,25,12444,34.22,,,,TCS,Tata Consultancy Services,63973.0,17034.0,27.0
64479,,227,47499,,,1028,1379,16402,25,12293,33.79,,,,TCS,Tata Consultancy Services,64479.0,16980.0,26.0
63437,,195,46562,,,1660,1361,16979,24,12819,35.27,,,,TCS,Tata Consultancy Services,63437.0,16875.0,27.0
65799,,229,47821,,,-268,1413,16068,24,12131,33.37,,,,TCS,Tata Consultancy Services,65799.0,17978.0,27.0
67087,,538,48818,,,-2273,1380,14078,24,10720,29.45,,,,TCS,Tata Consultancy Services,67087.0,18269.0,27.0
70698,,265,51422,,,757,1406,18362,25,13784,37.92,,,,TCS,Tata Consultancy Services,70698.0,19276.0,27.0
1458,,86,1243,,,6,58,78,-1,78,0.06,,,,SUZLON,Suzlon Energy,1458.0,215.0,15.0
1694,,86,1461,,,257,81,323,1,320,0.22,,,,SUZLON,Suzlon Energy,1694.0,233.0,14.0
1351,,62,1152,,,19,55,101,0,101,0.08,,,,SUZLON,Suzlon Energy,1351.0,199.0,15.0
1421,,44,1196,,,-28,51,102,0,102,0.08,,,,SUZLON,Suzlon Energy,1421.0,225.0,16.0
1560,,14,1313,,,9,39,203,0,203,0.15,,,,SUZLON,Suzlon Energy,1560.0,248.0,16.0
2196,,44,1839,,,-16,44,253,0,254,0.19,,,,SUZLON,Suzlon Energy,2196.0,357.0,16.0
2022,,45,1652,,,23,46,302,0,302,0.22,,,,SUZLON,Suzlon Energy,2022.0,370.0,18.0
2103,,56,1809,,,18,54,202,0,201,0.15,,,,SUZLON,Suzlon Energy,2103.0,294.0,14.0
2975,,70,2475,,,28,66,391,1,388,0.29,,,,SUZLON,Suzlon Energy,2975.0,500.0,17.0
3790,,85,3096,,,35,93,551,-114,1181,0.87,,,,SUZLON,Suzlon Energy,3790.0,693.0,18.0
3132,,103,2533,,,33,70,459,29,324,0.24,,,,SUZLON,Suzlon Energy,3132.0,599.0,19.0
3871,,110,3150,,,27,75,562,-127,1279,0.94,,,,SUZLON,Suzlon Energy,3871.0,721.0,19.0
4236,,114,3498,,,23,80,567,21,445,0.33,,,,SUZLON,Suzlon Energy,4236.0,738.0,17.0
