PERIOD,REVENUE_,INTEREST,EXPENSES_,FINANCING_PROFIT,FINANCING_MARGIN__PERCENT,OTHER_INCOME_,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,GROSS_NPA__PERCENT,NET_NPA__PERCENT,RAW_PDF,TICKER,COMPANY
19639,19639,12129,900,6610,34,24,14,6619,21,5241,11.7,3.91,1.15,,PFC,Power Finance Corporation
20061,20061,12637,-339,7763,39,13,14,7762,21,6129,14.17,3.66,1.03,,PFC,Power Finance Corporation
21009,21009,13670,-65,7404,35,9,12,7401,19,5982,13.87,3.54,1.0,,PFC,Power Finance Corporation
22391,22391,14313,-551,8629,39,13,13,8629,23,6628,14.65,3.4,0.98,,PFC,Power Finance Corporation
23572,23572,14827,791,7954,34,22,14,7961,21,6294,14.33,3.13,0.86,,PFC,Power Finance Corporation
24141,24141,15154,-589,9577,40,35,15,9597,21,7556,17.04,3.02,0.85,,PFC,Power Finance Corporation
24717,24717,15521,310,8886,36,20,12,8894,19,7182,16.8,2.97,0.84,,PFC,Power Finance Corporation
25722,25722,16008,366,9348,36,33,13,9368,23,7215,16.07,2.62,0.8,,PFC,Power Finance Corporation
26798,26798,16562,429,9807,37,24,15,9816,21,7760,17.66,2.3,0.73,,PFC,Power Finance Corporation
29265,29265,16584,2131,10550,36,20,16,10554,21,8358,19.14,1.64,0.38,,PFC,Power Finance Corporation
28539,28539,17204,212,11123,39,90,14,11199,20,8981,20.81,1.47,0.31,,PFC,Power Finance Corporation
28890,28890,17314,1514,10062,35,11,15,10057,22,7834,17.4,1.45,0.3,,PFC,Power Finance Corporation
29095,29095,17572,1031,10492,36,27,18,10502,22,8212,19.07,1.26,0.23,,PFC,Power Finance Corporation
