PERIOD,SALES_,EXPENSES_,OPERATING_PROFIT,OPM__PERCENT,OTHER_INCOME_,INTEREST,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,RAW_PDF,TICKER,COMPANY
1458,1458,1243,215,15,6,86,58,78,-1,78,0.06,,SUZLON,Suzlon Energy
1694,1694,1461,233,14,257,86,81,323,1,320,0.22,,SUZLON,Suzlon Energy
1351,1351,1152,199,15,19,62,55,101,0,101,0.08,,SUZLON,Suzlon Energy
1421,1421,1196,225,16,-28,44,51,102,0,102,0.08,,SUZLON,Suzlon Energy
1560,1560,1313,248,16,9,14,39,203,0,203,0.15,,SUZLON,Suzlon Energy
2196,2196,1839,357,16,-16,44,44,253,0,254,0.19,,SUZLON,Suzlon Energy
2022,2022,1652,370,18,23,45,46,302,0,302,0.22,,SUZLON,Suzlon Energy
2103,2103,1809,294,14,18,56,54,202,0,201,0.15,,SUZLON,Suzlon Energy
2975,2975,2475,500,17,28,70,66,391,1,388,0.29,,SUZLON,Suzlon Energy
3790,3790,3096,693,18,35,85,93,551,-114,1181,0.87,,SUZLON,Suzlon Energy
3132,3132,2533,599,19,33,103,70,459,29,324,0.24,,SUZLON,Suzlon Energy
3871,3871,3150,721,19,27,110,75,562,-127,1279,0.94,,SUZLON,Suzlon Energy
4236,4236,3498,738,17,23,114,80,567,21,445,0.33,,SUZLON,Suzlon Energy
