PERIOD,SALES_,EXPENSES_,OPERATING_PROFIT,OPM__PERCENT,OTHER_INCOME_,INTEREST,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,RAW_PDF,TICKER,COMPANY
59162,59162,43388,15774,27,1175,272,1286,15391,26,11436,31.13,,TCS,Tata Consultancy Services
59381,59381,44383,14998,25,1397,163,1243,14989,26,11120,30.26,,TCS,Tata Consultancy Services
59692,59692,43946,15746,26,1006,159,1263,15330,26,11380,31.0,,TCS,Tata Consultancy Services
60583,60583,44195,16388,27,-96,230,1233,14829,25,11097,30.56,,TCS,Tata Consultancy Services
61237,61237,44073,17164,28,1157,226,1246,16849,26,12502,34.37,,TCS,Tata Consultancy Services
62613,62613,45951,16662,27,962,173,1220,16231,25,12105,33.28,,TCS,Tata Consultancy Services
64259,64259,47528,16731,26,729,162,1266,16032,25,11955,32.92,,TCS,Tata Consultancy Services
63973,63973,46939,17034,27,1243,234,1377,16666,25,12444,34.22,,TCS,Tata Consultancy Services
64479,64479,47499,16980,26,1028,227,1379,16402,25,12293,33.79,,TCS,Tata Consultancy Services
63437,63437,46562,16875,27,1660,195,1361,16979,24,12819,35.27,,TCS,Tata Consultancy Services
65799,65799,47821,17978,27,-268,229,1413,16068,24,12131,33.37,,TCS,Tata Consultancy Services
67087,67087,48818,18269,27,-2273,538,1380,14078,24,10720,29.45,,TCS,Tata Consultancy Services
70698,70698,51422,19276,27,757,265,1406,18362,25,13784,37.92,,TCS,Tata Consultancy Services
