PERIOD,DEBTOR_DAYS,INVENTORY_DAYS,DAYS_PAYABLE,CASH_CONVERSION_CYCLE,WORKING_CAPITAL_DAYS,ROCE__PERCENT,TICKER,COMPANY
48,48,102,134,16,-99,-5,SUZLON,Suzlon Energy
50,50,90,122,18,-96,-48,SUZLON,Suzlon Energy
97,97,164,193,68,-56,11,SUZLON,Suzlon Energy
104,104,168,233,39,-155,53,SUZLON,Suzlon Energy
134,134,216,180,170,-100,15,SUZLON,Suzlon Energy
137,137,355,265,227,-328,-8,SUZLON,Suzlon Energy
168,168,400,253,315,-1465,-48,SUZLON,Suzlon Energy
130,130,503,366,266,84,10,SUZLON,Suzlon Energy
76,76,186,155,107,16,21,SUZLON,Suzlon Energy
72,72,176,86,162,66,20,SUZLON,Suzlon Energy
102,102,210,165,148,103,25,SUZLON,Suzlon Energy
130,130,171,156,145,73,33,SUZLON,Suzlon Energy
