PERIOD,DEBTOR_DAYS,INVENTORY_DAYS,DAYS_PAYABLE,CASH_CONVERSION_CYCLE,WORKING_CAPITAL_DAYS,ROCE__PERCENT,TICKER,COMPANY
79,79,,,79,33,50,TCS,Tata Consultancy Services
81,81,,,81,62,51,TCS,Tata Consultancy Services
70,70,,,70,62,44,TCS,Tata Consultancy Services
74,74,,,74,61,39,TCS,Tata Consultancy Services
68,68,,,68,70,47,TCS,Tata Consultancy Services
71,71,,,71,64,47,TCS,Tata Consultancy Services
67,67,,,67,59,49,TCS,Tata Consultancy Services
80,80,,,80,33,54,TCS,Tata Consultancy Services
81,81,,,81,30,59,TCS,Tata Consultancy Services
81,81,,,81,34,64,TCS,Tata Consultancy Services
84,84,,,84,34,65,TCS,Tata Consultancy Services
93,93,,,93,38,63,TCS,Tata Consultancy Services
