Company,Signal,Signal_Date,Action_Date,Close,Volume,Probability,Confidence,Position,Target,Exit_Date,Stop_Loss,Expected_return(%),Risk,Reward,RR_Ratio,Side,Market_Regime,Regime_Strength
ADVANCED ENZYME,BUY,2026-05-13,2026-05-13,367.95001220703125,394242,0.9998522535866909,0.9997045071733819,1,375.30466403016396,2026-05-15,363.53352479465525,1.9988182033255488,4.416487412376,14.715825956498009,3.3320203544402514,LONG,BULL_VOLATILE,0.8923954341478283
C. E. INFO,STRONG SELL,2026-05-13,2026-05-13,1025.75,426379,0.00011462889523849995,0.999770742209523,-1,1005.2444053688926,2026-05-15,1038.061351611786,-1.999083073956361,12.311351611785994,41.02529677642838,3.3323146041756635,SHORT,BULL_VOLATILE,0.8496988757746219
CAPLIN POINT LAB,STRONG BUY,2026-05-13,2026-05-13,1841.800048828125,65257,0.9998543251239138,0.9997086502478276,1,1878.6145886119884,2026-05-15,1819.6930821623098,1.9988347707606668,22.106966665815207,73.66126979336923,3.332038759706561,LONG,BULL_VOLATILE,0.8377393282030512
CENTRAL DEPOSITORY,BUY,2026-05-13,2026-05-13,1186.199951171875,2650766,0.9998472825311908,0.9996945650623816,1,1209.9094601322126,2026-05-15,1171.9619286887316,1.9987784468305287,14.238022483143368,47.44075190871331,3.33197618992014,LONG,SIDEWAYS,0.6081029774868552
CIPLA,BUY,2026-05-13,2026-05-13,1327.5999755859375,6015153,0.9998514966191515,0.999702993238303,1,1354.136205193105,2026-05-15,1311.6648328172105,1.9988121493792452,15.935142768727019,53.09611290004591,3.33201362970628,LONG,BULL_VOLATILE,0.7984386839271238
COAL INDIA,SELL,2026-05-13,2026-05-13,462.25,12091924,0.0001158088173807692,0.9997683823652385,-1,453.00928211410275,2026-05-15,467.7980706525167,-1.999073636754411,5.548070652516685,18.487858694966633,3.3323041196759036,SHORT,SIDEWAYS,0.6414343308031105
CUPID LTD,STRONG SELL,2026-05-13,2026-05-13,122.13999938964844,13596211,0.00011260774017990416,0.9997747845196402,-1,119.69829959069709,2026-05-15,123.60595446051055,-1.9990992395225857,1.4659550708621083,4.885049819213265,3.3323325611937755,SHORT,BULL,0.5339196261551711
DR REDDY,BUY,2026-05-13,2026-05-13,1265.300048828125,9276074,0.9998506925673514,0.9997013851347027,1,1290.5909385650991,2026-05-15,1250.112669868151,1.9988057188804869,15.187378959974012,50.604445205052116,3.3320064861150143,LONG,SIDEWAYS_VOLATILE,0.5791289510307097
EPACK DURABLE LTD,SELL,2026-05-13,2026-05-13,246.5,573333,0.00011889726254343813,0.9997622054749131,-1,241.57234437524443,2026-05-15,249.45858616350435,-1.9990489349921248,2.95858616350435,9.858827672991339,3.3322766770400896,SHORT,SIDEWAYS_VOLATILE,0.0
HINDUSTAN AERONAUTICS,STRONG SELL,2026-05-13,2026-05-13,4618.5,1092960,0.00011112493762266418,0.9997777501247547,-1,4526.171053879336,2026-05-15,4673.932264610487,-1.9991110992890329,55.43226461048744,184.71947077902314,3.3323457389605373,SHORT,BULL,0.8440746349603655
