Feature,Mean_IC,Abs_IC,IC_Std,Positive_IC_Pct,Observations,ICIR,Alpha_Score,Global_Weight,Rolling_IC,Rolling_ICIR,Rolling_Rank,Rolling_Weight,IC_Volatility,IC_FlipRate,Rolling_IC_Volatility,Rolling_ICIR_Volatility,Stability_Score,Stability_Multiplier,Stability_Weight,Stability_Rank,Cluster_ID,Cluster_Size,Representative,Dropped_By_Cluster,Cluster_Weight,Diversification_Multiplier,Regime,Regime_Mean_IC,Regime_Abs_IC,Regime_ICIR,Regime_Alpha_Score,Regime_Positive_IC_Pct,Regime_Observations,Regime_Weight,Historical_IC,Recent_IC,IC_Delta,Historical_ICIR,Recent_ICIR,ICIR_Delta,Recent_Positive_Pct,IC_Trend,Decay_Score,Decay_Multiplier,Decay_Weight,Feature_Rank,Use_Feature,Rolling_Component,Stability_Component,Regime_Component,Decay_Component,Diversification_Component,Rolling_Contribution,Stability_Contribution,Regime_Contribution,Decay_Contribution,Diversification_Contribution,Final_IC_Score,Adaptive_Weight,Adaptive_Score
EPS,0.046347027019529086,0.2302421690689695,0.2769820978700784,0.5607414763323403,3021,0.1673286006879047,0.19004605993405738,0.24124347416016062,0.02397098515519569,0.13313078660420927,4.0,0.8,0.2769362512922803,0.20496688741721855,0.0815542135278395,0.32323622106434824,0.6459064891941307,1.0875438935164783,0.26568578456659836,2.0,3.0,1.0,True,False,0.24124347416016056,0.9155647840439438,SIDEWAYS,0.035593949124888724,0.22829249493417472,0.12874619973701326,0.029391791151256348,0.5507947477539737,1447.0,1.1,0.046347027019529086,0.02397098515519568,-0.022376041864333406,0.16735630180556546,0.13425427382166077,-0.033102027983904686,0.55,-2.4667129239329947e-07,0.4803513265016247,0.9921405306006499,0.19503869050479136,2,True,0.8,1.0875438935164783,1.1,0.9921405306006499,0.9155647840439438,0.8944271909999159,1.042853725848682,1.0388601182540846,0.9968487684581984,0.9738828632828663,0.22694312949753995,0.23232246401267412,23.23224640126741
Value_Score,0.03248966693622696,0.1859162552543867,0.23003344321751798,0.5418735518040384,3021,0.1412388839663895,0.16870931903298808,0.2141587268940758,,,,1.0,0.22999536766595077,0.23774834437086093,0.06370433564842146,0.3149481953733885,0.4945502283158585,0.996730136989515,0.20342722610145156,3.0,5.0,1.0,True,False,0.21415872689407575,0.9250444455870734,SIDEWAYS,0.029097481875694914,0.18548119639600275,0.1266032710915927,0.023482526189716083,0.5321354526606773,1447.0,1.0,0.03248966693622696,-0.14045571420679037,-0.17294538114301733,0.1412622659520397,-0.9916159531323357,-1.1328782190843754,0.21666666666666667,1.2209242645378356e-05,0.10090460598323187,0.8403618423932928,0.16520146918234804,3,True,1.0,0.996730136989515,1.0,0.8403618423932928,0.9250444455870734,1.0,0.9983637298046815,1.0,0.9327956879820525,0.9768970090503875,0.1948318171257469,0.19945000283963607,19.94500028396361
Trend_Strength,0.0351236780903131,0.21981202317162266,0.2694632474667702,0.5584243627937769,3021,0.13034682202550713,0.1659915099601894,0.21070875427663002,0.09025641025641028,0.5135809023226461,2.0,1.0666666666666667,0.2694186454226897,0.2099337748344371,0.0789002114013066,0.30665954993017097,0.662558461830373,1.0975350770982237,0.27253537113749876,1.0,1.0,1.0,True,False,0.21070875427662997,0.9262519360031796,SIDEWAYS,0.03623264528414491,0.22502538328819102,0.13200434248816104,0.029704327764104078,0.5590877677954388,1447.0,1.2,0.0351236780903131,0.09025641025641026,0.05513273216609716,0.13036840083892234,0.517914998161867,0.3875465973229447,0.7,1.633965086607058e-05,0.7176915606157912,1.0870766242463166,0.21370158231819325,1,True,1.0666666666666667,1.0975350770982237,1.2,1.0870766242463166,0.9262519360031796,1.0327955589886444,1.0476330832396539,1.0756537569325701,1.0339607736486771,0.9772793869771548,0.24780008200887887,0.25367379819916297,25.367379819916298
Trend_Strength_Z,0.03512294100966174,0.21981209017895462,0.2694633438506291,0.5580933465739821,3021,0.1303440400368048,0.1659401063092385,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.03512294100966174,0.09025641025641026,0.05513346924674852,0.130365618389664,0.517914998161867,0.38754937977220305,0.7,1.6338217746656906e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Trend,0.03252851272769727,0.2185582337305418,0.26871735779752903,0.5602409638554217,2822,0.12105102875846063,0.16037276421377578,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.03252851272769728,0.05610898905016551,0.02358047632246823,0.12107248219740764,0.2824804480453064,0.1614079658478988,0.6166666666666667,9.870291779932701e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BB_Z200,0.029781647952287705,0.20567942270182663,0.25342984199371255,0.552466070837471,3021,0.11751436847564384,0.15643730767291109,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.029781647952287712,0.06471659919028341,0.0349349512379957,0.1175338228865067,0.4017734174848696,0.2842395945983629,0.6333333333333333,1.2044537745424766e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Price_to_MA200,0.030651763900760493,0.21849666958416558,0.26815212051227794,0.551142005958292,3021,0.11430737048767682,0.1547358838321942,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.030651763900760493,0.07072537112010796,0.04007360721934747,0.11432629398256045,0.3953131033288752,0.28098680934631476,0.65,1.7158192184953926e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Value_Rank,0.02573916579969817,0.19283039392456283,0.23745583044707838,0.5312810327706058,3021,0.10839559358404151,0.14703148112672315,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.025739165799698174,-0.13608778115743717,-0.16182694695713534,0.10841353838892026,-0.9381534262644733,-1.0465669646533935,0.21666666666666667,1.613288254277381e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Low_20,0.02723679198166636,0.2513071964787256,0.3044071127558565,0.535253227408143,3021,0.08947488659384967,0.13767020933233867,0.17475784343655396,0.11578947368421054,0.6206690766660828,1.0,1.2,0.3043567267399927,0.2052980132450331,0.09576305857028306,0.33751293758325235,0.21627248090662765,0.8297634885439765,0.08896105664077321,5.0,4.0,1.0,True,False,0.17475784343655393,0.9388347547972061,SIDEWAYS,0.017281001281813046,0.2440553471030004,0.058697572897435074,0.014325456527587186,0.5245335176226675,1447.0,0.8,0.027236791981666363,0.11578947368421053,0.08855268170254416,0.08948969909064844,0.6259068866089598,0.5364171875183114,0.7833333333333333,-5.190282751327262e-06,0.7363083733974312,1.0945233493589726,0.21516548734951202,4,True,1.2,0.8297634885439765,0.8,1.0945233493589726,0.9388347547972061,1.0954451150103321,0.9109135461414417,0.9146101038546527,1.0367881202354567,0.9812433974980607,0.16225840960985213,0.16610449327459034,16.610449327459033
MA20,0.027188024264781476,0.24984386179399976,0.30264237757167173,0.5329361138695796,3021,0.08983548303147773,0.13750634002718415,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.027188024264781476,0.11664304993252364,0.08945502566774216,0.0898503552247316,0.6281564838356365,0.5383061286109049,0.7833333333333333,-5.456464441387881e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MA10,0.02696205178200317,0.2502916619844765,0.3031124292610584,0.5349222111883483,3021,0.0889506634841133,0.13724981212911552,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02696205178200317,0.11865384615384617,0.091691794371843,0.08896538919619011,0.6441758291338303,0.5552104399376402,0.7833333333333333,-4.8182585813687716e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EMA20,0.027006431034929904,0.24999117934047488,0.30284466158620443,0.5339291625289639,3021,0.08917585274345903,0.13723802269872604,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.027006431034929904,0.1180161943319838,0.0910097632970539,0.08919061573543982,0.6368854969180167,0.5476948811825768,0.7833333333333333,-5.156099615422631e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
