Feature,Mean_IC,Abs_IC,IC_Std,Positive_IC_Pct,Observations,ICIR,Alpha_Score,Global_Weight,Rolling_IC,Rolling_ICIR,Rolling_Rank,Rolling_Weight,IC_Volatility,IC_FlipRate,Rolling_IC_Volatility,Rolling_ICIR_Volatility,Stability_Score,Stability_Multiplier,Stability_Weight,Stability_Rank,Cluster_ID,Cluster_Size,Representative,Dropped_By_Cluster,Cluster_Weight,Diversification_Multiplier,Regime,Regime_Mean_IC,Regime_Abs_IC,Regime_ICIR,Regime_Alpha_Score,Regime_Positive_IC_Pct,Regime_Observations,Regime_Weight,Historical_IC,Recent_IC,IC_Delta,Historical_ICIR,Recent_ICIR,ICIR_Delta,Recent_Positive_Pct,IC_Trend,Decay_Score,Decay_Multiplier,Decay_Weight,Feature_Rank,Use_Feature,Rolling_Component,Stability_Component,Regime_Component,Decay_Component,Diversification_Component,Rolling_Contribution,Stability_Contribution,Regime_Contribution,Decay_Contribution,Diversification_Contribution,Final_IC_Score,Adaptive_Weight,Adaptive_Score
Trend_Strength_Z,0.03512432731690704,0.21981070387170928,0.2694613547915471,0.5580933465739821,3021,0.13035014692080338,0.1659438809876113,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.03512432731690704,0.09025641025641026,0.055132082939503224,0.1303717262846524,0.517914998161867,0.3875432718772146,0.7,1.6338255240474347e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Trend,0.032529946754182915,0.21855679970405617,0.2687159713102572,0.5602409638554217,2822,0.12105698993070686,0.16037647306645691,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.032529946754182915,0.05610898905016551,0.023579042295982594,0.12107844442613099,0.2824804480453064,0.16140200361917545,0.6166666666666667,9.869851536579288e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BB_Z200,0.029781534784349317,0.20567953586976503,0.25343003813569315,0.552466070837471,3021,0.11751383098040517,0.15643697810014828,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.029781534784349317,0.06471659919028341,0.034935064405934094,0.11753328530228609,0.4017734174848696,0.28424013218258354,0.6333333333333333,1.2045188447024789e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Price_to_MA200,0.030652725828236818,0.21849570765668927,0.26815119419818323,0.551142005958292,3021,0.11431135261426757,0.15473836258006202,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.030652725828236818,0.07072537112010796,0.04007264529187114,0.1143302767683891,0.3953131033288752,0.2809828265604861,0.65,1.7158000280298897e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Value_Rank,0.025739703308705713,0.1928294036664021,0.2374549965213808,0.5312810327706058,3021,0.1083982378866887,0.1470330967458814,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02573970330870571,-0.13608778115743717,-0.16182748446614287,0.10841618312932966,-0.9381534262644733,-1.0465696093938028,0.21666666666666667,1.613246123394198e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MA20,0.027193512909793452,0.24983939166043329,0.3026353568486217,0.5329361138695796,3021,0.08985570325657603,0.13751910774449178,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.027193512909793452,0.11664304993252364,0.08944953702273019,0.0898705787972722,0.6281564838356365,0.5382859050383643,0.7833333333333333,-5.455989115318132e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MA10,0.026967540427015154,0.25028719185091003,0.3031053946775581,0.5349222111883483,3021,0.08897083592567609,0.13726255356547865,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026967540427015154,0.11865384615384617,0.09168630572683101,0.08898556497728466,0.6441758291338303,0.5551902641565456,0.7833333333333333,-4.817783255299036e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EMA20,0.027011919679941886,0.24998670920690844,0.30283745735237666,0.5339291625289639,3021,0.08919609822015895,0.13725080430441458,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02701191967994189,0.1180161943319838,0.09100427465204192,0.08921086456376241,0.6368854969180167,0.5476746323542543,0.7833333333333333,-5.155624289352887e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Close_Lag3,0.02686102454438908,0.2504482083084318,0.30337470896189495,0.5365772922873221,3021,0.08854075063726613,0.1372423140569114,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026861024544389083,0.11603957120967151,0.08917854666528242,0.088555408488595,0.6263518602945173,0.5377964518059223,0.7833333333333333,-4.56571167239423e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MA50,0.026934039486578566,0.24896095756103784,0.30193275937114256,0.5335981463091691,3021,0.08920542260293528,0.13718291622396334,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026934039486578566,0.11269568151147098,0.08576164202489242,0.0892201904901828,0.6115267085618729,0.52230651807169,0.7666666666666667,-6.450023673043592e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Close_Lag5,0.026884881674196143,0.2504337990066462,0.3032938223968182,0.5355842436279378,3021,0.08864302402565244,0.13715676426055834,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026884881674196146,0.11767398809415887,0.09078910641996273,0.08865769880825995,0.6372353034917396,0.5485776046834797,0.7833333333333333,-4.578687945440395e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EMA50,0.026887448778420996,0.2492948184220195,0.3022580304653099,0.5332671300893744,3021,0.08895528316674974,0.13698170988864483,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02688744877842099,0.11520917678812416,0.08832172800970317,0.0889700096436112,0.6151815474215956,0.5262115377779844,0.7666666666666667,-6.217679695754953e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EMA10,0.02691917045458853,0.25030296088916354,0.30312162703780027,0.5322740814299901,3021,0.08880649866142715,0.13676043761466,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026919170454588522,0.11764170040485834,0.09072252995026982,0.08882120050713142,0.6353015900917912,0.5464803895846598,0.7833333333333333,-4.716995550193287e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EMA_S,0.026753565330564978,0.2501403632359314,0.3029488896543216,0.5332671300893744,3021,0.08831049116166596,0.13658690925149194,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026753565330564978,0.11729082321187585,0.09053725788131087,0.08832511089372046,0.6324338716643041,0.5441087607705837,0.7833333333333333,-5.002271837915317e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Close_Lag2,0.026675271517287557,0.25053942652787975,0.30342306046788303,0.5339291625289639,3021,0.08791444983858322,0.13644490324575162,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026675271517287557,0.1153476531240233,0.08867238160673574,0.08792900400630957,0.6237401569343556,0.535811152928046,0.7833333333333333,-4.60865284041736e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EMA_M,0.02658098142504798,0.24920706980491958,0.30222624183664837,0.5335981463091691,3021,0.08795060672284125,0.13638685007145246,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02658098142504798,0.11506072874493928,0.0884797473198913,0.08796516687631105,0.6165843318042653,0.5286191649279542,0.7666666666666667,-5.548798241213221e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
SMA_S,0.026392806190646465,0.24979226351521963,0.302530906358271,0.533977348434377,3002,0.08724003250150864,0.13599646199818025,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02639280619064646,0.116474358974359,0.09008155278371253,0.08725456645116599,0.6268014684982819,0.5395469020471159,0.7833333333333333,-4.986667599889328e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Close_Lag1,0.02627973855491004,0.2504248181022682,0.3035134445993815,0.5365772922873221,3021,0.0865850885222318,0.13599231409679882,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02627973855491004,0.11543536559215699,0.08915562703724694,0.08659942261524234,0.6251226303147567,0.5385232076995143,0.7833333333333333,-4.629248660516698e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
High_20,0.026274006734490585,0.24870927387620545,0.30145063553530616,0.5329361138695796,3021,0.08715857108967606,0.13575983320010596,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.026274006734490582,0.1165688259109312,0.09029481917644062,0.0871730001222723,0.6334854849107621,0.5463124847884897,0.7833333333333333,-5.67816068198696e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EMA200,0.025759198934371272,0.24840027023999686,0.30108501721183284,0.535253227408143,3021,0.08555456889670944,0.13507075668472301,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.025759198934371272,0.09920715249662616,0.07344795356225489,0.08556873238800962,0.5278706309723885,0.4423018985843789,0.7666666666666667,-7.793667405597266e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MA200,0.025833707473816435,0.24820226529632214,0.30074974297319973,0.5335981463091691,3021,0.08589768733475137,0.13503356222263355,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.02583370747381644,0.10144062078272602,0.07560691330890958,0.08591190762903787,0.5422148415521671,0.45630293392312926,0.75,-7.432167755527372e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
SMA_L,0.023310125702511352,0.2492563287972149,0.3022960032967949,0.5287030474840538,2822,0.07711026732468954,0.1287091418619407,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,0.023310125702511356,0.1209116373822256,0.09760151167971425,0.07712393330035193,0.5867197105548662,0.5095957772545142,0.7333333333333333,-3.0363618071092913e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
