,Correlation
CAGR,0.9082196253510897
Return_Per_Unit_Exposure,0.8539348809933064
AvgRet_BULL,0.8371257143323743
AvgRet_SIDEWAYS,0.8224061087813873
AvgRet_SIDEWAYS_VOLATILE,0.8041641545557491
AvgRet_BEAR,0.799869630048123
AvgRet_BEAR_VOLATILE,0.7525245952163566
Max_Drawdown,0.7117960423639375
Bull_Vol_Return_Efficiency,0.693343529500003
AvgRet_BULL_VOLATILE,0.693343529500003
Underconfidence,0.5836625700468813
SumPnL_BEAR,0.5821949643791061
SumPnL_SIDEWAYS,0.5693488231219253
Sideways_PnL_Per_Day,0.5668642599235183
Regime_PnL_Efficiency,0.5580112009300876
Win_Rate,0.5546574408319457
Average_Accuracy,0.5522927327162263
AvgPos_BEAR_VOLATILE,0.550970243892869
BearVol_Exposure_Alpha,0.5342934855012003
Exposure_Efficiency_BEAR_VOL,0.5309410106319751
SumPnL_BULL,0.4989643320067937
Std_Adjusted_Confidence,0.4604899631716691
SumPnL_SIDEWAYS_VOLATILE,0.4592992815625423
Bear_PnL_Per_Day,0.45310022422508645
SumPnL_BULL_VOLATILE,0.44477904587431993
BullVol_PnL_Per_Day,0.42931646571341586
Pearson_IC,0.4254965141689052
BullVol_Pnl_Share,0.3970189198262525
Bull_PnL_Per_Day,0.380844016147575
Pct_BULL_VOLATILE,0.350208897354311
Confidence_Std,0.3350357547367491
Spearman_IC,0.32206912757874184
Rank_IC,0.32206912757874184
Confidence_CV,0.3185171321150198
Pct_BULL,0.30879892896604316
SumPnL_BEAR_VOLATILE,0.28273163505929405
Exposure_Efficiency_BEAR,0.2395721381102145
AvgPos_BEAR,0.23535488374559507
Probability_IQR,0.21482301048737162
Std_Probability,0.19533931440701313
Avg_Holdings,0.18922708631616225
Bear_Exposure_Alpha,0.18438419946065338
Probability_Spread_95_05,0.17785870129544915
Avg_Turnover,0.16666617936119538
Probability_Spread_90_10,0.16527860552247156
Log_Loss,0.1390237171594821
Brier_Score,0.1339426863827631
Overall_Avg_Position,0.11941778888344719
AvgPos_SIDEWAYS_VOLATILE,0.08942897702342895
Pct_SIDEWAYS_VOLATILE,0.076028905051968
SidewaysVol_Exposure_Alpha,0.053928640062259565
Max_Probability,0.047757044043273515
Exposure_Efficiency_SIDEWAYS_VOL,0.04613760197039736
AvgPos_SIDEWAYS,0.029543269425343327
AvgPos_BULL_VOLATILE,0.023374015231323396
Pct_SIDEWAYS,0.019262899781237013
Volatility,0.01338324600016321
Exposure_Efficiency_SIDEWAYS,-0.0060029329926220894
BullVol_Exposure_Alpha,-0.020571448401031565
Sideways_Exposure_Alpha,-0.044279132064571715
Exposure_Efficiency_BULL_VOL,-0.06785341759939192
Maximum_Calibration_Error,-0.07412199556266257
Expected_Calibration_Error,-0.09258125731067
Reliability_Error,-0.11425038553645907
Fold_Quality_Score,-0.11548247667819739
AvgPos_BULL,-0.22933091563560645
Pct_BEAR,-0.25835742970433206
Confidence_Mean,-0.2698203110773852
Probability_Entropy,-0.29621513843253533
Pct_BEAR_VOLATILE,-0.3261387414575856
Exposure_Efficiency_BULL,-0.35380023288565143
Bull_Exposure_Alpha,-0.36002965225622785
Min_Probability,-0.3732082754974892
Mean_Adjusted_Confidence,-0.4808064517561325
Median_Probability,-0.4877066876194347
Overconfidence,-0.5479679099514412
Average_Confidence,-0.564710140100358
Avg_Probability,-0.5647101401003582
Calibration_Gap,-0.6759620250469967
Deadband_Pct,
Avg_Final_Score,
Min_Final_Score,
Max_Final_Score,
